[WARN] missing-site-url  (source: fields will be relative)
[WARN] missing-type /AGENTS/  (using fallback 'concept')
[WARN] missing-type /backlogs/  (using fallback 'concept')
[WARN] missing-type /deployment-guide/  (using fallback 'concept')
[WARN] missing-type /docmd/  (using fallback 'concept')
[WARN] missing-type /docmd/okf/  (using fallback 'concept')
[WARN] missing-type /etl-code-review-and-go-des/  (using fallback 'concept')
[WARN] missing-type /go-json-generator-design/  (using fallback 'concept')
[WARN] missing-type /  (using fallback 'concept')
[WARN] missing-type /migration-process/  (using fallback 'concept')
[WARN] missing-type /output-file-improvement/  (using fallback 'concept')
[WARN] missing-type /source-file-improvement/  (using fallback 'concept')
[WARN] missing-type /usage/  (using fallback 'concept')
[WARN] orphan-concept agents  (no inbound links)
[WARN] orphan-concept docmd  (no inbound links)
[WARN] orphan-concept docmd-okf-concepts-agents  (no inbound links)
[WARN] orphan-concept docmd-okf-concepts-backlogs  (no inbound links)
[WARN] orphan-concept docmd-okf-concepts-deployment-guide  (no inbound links)
[WARN] orphan-concept docmd-okf-concepts-etl-code-review-and-go-des  (no inbound links)
[WARN] orphan-concept docmd-okf-concepts-go-json-generator-design  (no inbound links)
[WARN] orphan-concept docmd-okf-concepts-migration-process  (no inbound links)
[WARN] orphan-concept docmd-okf-concepts-output-file-improvement  (no inbound links)
[WARN] orphan-concept docmd-okf-concepts-root  (no inbound links)
[WARN] orphan-concept docmd-okf-concepts-source-file-improvement  (no inbound links)
[WARN] orphan-concept docmd-okf-concepts-usage  (no inbound links)
[WARN] orphan-concept docmd-okf  (no inbound links)
[WARN] orphan-concept etl-code-review-and-go-des  (no inbound links)
[WARN] orphan-concept root  (no inbound links)
