LOC,ITEM,DEPT,DEPT_NAME,CLASS,CLASS_NAME,SUBCLASS,SUB_NAME,ITEM_DESC,AV_COST,SELLING_UNIT_RETAIL,CURRENCY_CODE,UDA_VALUE,ITEM_LOC_STATUS,SIZE,BARCODE
001,020417486401,9828,TOILETRIES,1988,OCC:L'OCCITANE,4634,HAND & FOOT CARE,29MA030A26:ALMOND HAND CREAM 30ML,19.6,49,QAR,204,A,,3253581785911
001,020417486403,9828,TOILETRIES,1988,OCC:L'OCCITANE,3991,BATH & BODY,49HD035A26:ALMOND SHOWER OIL 35ML,6.7999,17,QAR,204,A,,3253581785720
001,020417486404,9828,TOILETRIES,1988,OCC:L'OCCITANE,3991,BATH & BODY,29HD250A26:ALMOND SHOWER OIL 250ML,52,130,QAR,204,A,,3253581785706
001,020417486405,9834,PLV,1988,OCC:L'OCCITANE,6977,WRAPPING MATERIALS,84CAEEMA25:CARD ENEVELOPE EID MUBARAK AR 1X50,0,0,QAR,204,A,,020427486405
001,020417486407,9834,PLV,1988,OCC:L'OCCITANE,6977,WRAPPING MATERIALS,84CAERKA25:CARD ENEVELOPE RAMADAN KAREEM AR 1X50,0,0,QAR,204,A,,020427486407
001,020417486408,9834,PLV,1988,OCC:L'OCCITANE,6977,WRAPPING MATERIALS,84CAEEME25:CARD ENEVELOPE EID MUBARAK EN 1X50,0,0,QAR,204,A,,020427486408
001,020417486409,9834,PLV,1988,OCC:L'OCCITANE,6977,WRAPPING MATERIALS,84CAERKE25:CARD ENEVELOPE RAMADAN KAREEM EN 1X50,0,.01,QAR,204,A,,020427486409
001,020417486410,9834,PLV,1988,OCC:L'OCCITANE,6640,PROMOTIONAL MATERIALS,84GESQB25:GENERIC SQUARE BLOTTERS 1X300,0,.01,QAR,204,A,,020427486410
001,020417486411,9834,PLV,1988,OCC:L'OCCITANE,6977,WRAPPING MATERIALS,84GESTR25:GENERIC STICKER ROLL,0,.01,QAR,204,A,,020427486411
001,020417486412,9834,PLV,1988,OCC:L'OCCITANE,6977,WRAPPING MATERIALS,84SOGRIBF25:SOG BOX FITTED RIBBON 1X50,0,0,QAR,204,A,,020427486412
001,020417486413,9834,PLV,1988,OCC:L'OCCITANE,6977,WRAPPING MATERIALS,84RAKRIBF26:RAMADAN 2026 FITTED RIBBON 1X50,0,.01,QAR,204,A,,020427486413
001,020417486414,9834,PLV,1988,OCC:L'OCCITANE,6977,WRAPPING MATERIALS,84RACRRIBF26:RAMADAN 2026 FITTED CRACKER RIBBON 1X50,0,0,QAR,204,A,,020427486414
001,020417499846,9812,GWP,1988,OCC:L'OCCITANE,4624,GWP,80PAPSTB26:SHEA PAPER STRAW BAG 2026,0,.01,QAR,204,A,,020427499846
001,020417544461,9828,TOILETRIES,1988,OCC:L'OCCITANE,3991,BATH & BODY,29CC200A26:ALMOND BODY CREAM 200ML,112,280,QAR,204,A,,3253581785812
001,020417544463,9828,TOILETRIES,1988,OCC:L'OCCITANE,3991,BATH & BODY,29HD500A26:ALMOND SHOWER OIL 500ML,92,230,QAR,204,A,,3253581785744
001,020417544464,9828,TOILETRIES,1988,OCC:L'OCCITANE,3991,BATH & BODY,29HD075A26:ALMOND SHOWER OIL 75ML,19.6,49,QAR,204,A,,3253581785713
001,020417544465,9828,TOILETRIES,1988,OCC:L'OCCITANE,3991,BATH & BODY,15GD250VM26:SHOWER GEL VERB MIMOSA 250ML,39.6,99,QAR,204,A,,3253581786895
001,020417544466,9828,TOILETRIES,1988,OCC:L'OCCITANE,3991,BATH & BODY,15LC250VM26:BODY LOTION VERB MIMOSA 250ML,62,155,QAR,204,A,,3253581786918
001,020417544467,9828,TOILETRIES,1988,OCC:L'OCCITANE,3991,BATH & BODY,11GD250HR25:ORTIE BLANCHE SHOWER GEL 250ML,39.6,99,QAR,204,A,,3253581782583
