TYPE_MOUVEMENT;CODE_ARTICLE;CODE_MAGASIN;QTE_STOCK
M;030717541875;30024;3
M;030717541873;30024;3
M;030716940607;30024;1
M;030717541874;30024;1
M;030717344604;30024;2
M;030717541876;30024;1
M;030716940606;30024;1
M;030717344600;30024;1
M;030717541872;30024;1
M;030717344602;30024;1
M;030717541868;30024;2
M;030717344606;30024;1
M;030717344605;30024;2
M;030717541867;30024;1
M;030717135892;30024;1
M;030715293562;30024;2
M;030717135890;30024;1
M;030717541866;30024;1
M;030716940608;30024;1
M;030717541869;30024;1
