TYPE_MOUVEMENT;CODE_ARTICLE;TYPE_BARCODE;BARCODE
M;030716524254;;9009656699355
M;030716524255;;9009656699331
M;030716524256;;9009656701980
M;030716524257;;9009656699294
M;030716524258;;9009656699348
M;030716524259;;9009656699379
M;030716724734;;9009656781906
M;030716724735;;9009656781883
M;030716724736;;9009656781821
M;030716724737;;9009656781838
M;030716724738;;9009656771259
M;030716940601;;9009656680568
M;030716940602;;9009656781845
M;030716940603;;9009656967188
M;030716940604;;9009656941805
M;030716940605;;9009656765425
M;030716940606;;9009656937259
M;030716940607;;9009656886373
M;030716940608;;9009656941744
M;030717135888;;9009657077053
M;030717135889;;9009657077091
M;030717135890;;9009657077084
M;030717135891;;9009657077077
M;030717135892;;9009656993347
M;030717135893;;9009657096139
M;030717135894;;9009657096146
M;030717344600;;9009657175292
M;030717344601;;9009657171362
M;030717344602;;9009657287292
M;030717344603;;9009657287315
M;030717344604;;9009657283904
M;030717344605;;9009657171386
M;030717344606;;9009657171379
M;030717344607;;9009657171416
M;030717360209;;9009657424604
M;030717360210;;9009657283386
M;030717360211;;9009657283379
M;030717541866;;9009657329725
M;030717541867;;9009657329732
M;030717541868;;9009657329909
M;030717541869;;9009657406990
M;030717541870;;9009657329817
M;030717541871;;9009657442455
M;030717541872;;9009657329800
M;030717541873;;9009657449553
M;030717541874;;9009657406785
M;030717541875;;9009657406792
M;030717541876;;9009657406761
M;030717565711;;9009657510895
M;030717989910;;9009657602170
M;030717989911;;9009657602163
M;030717989912;;9009657566984
M;030717989913;;9009657455790
M;030717989914;;9009657546399
M;030717989915;;9009657149590
M;030717989916;;9009657284062
M;030717989917;;9009657427841
M;030717989918;;9009657601463
M;030717989919;;9009657479567
M;030717989920;;9009657601616
M;030718020308;;9009657620778
M;030718020309;;9009657620761
M;030711498256;;9007810970548
M;030711501135;;9007810970708
M;030711506819;;9007810794410
M;030711506824;;9007810970555
M;030711506825;;9007810970722
M;030713260522;;9009652243842
M;030713260524;;9009652243903
M;030713260525;;9009652243859
M;030713260527;;9009652243880
M;030713260528;;9009652243910
M;030713260529;;9009652243927
M;030713561193;;9009653510684
M;030713561196;;9009653510721
M;030713561197;;9009653510745
M;030713959119;;9009653548960
M;030714151776;;9009654082739
M;030714658458;;9009654795523
M;030714882065;;9009655275369
M;030714882066;;9009655343174
M;030714882067;;9009655343198
M;030714882068;;9009655343181
M;030714882069;;9009655343242
M;030714882070;;9009655343297
M;030714882071;;9009655343266
M;030714882072;;9009655343235
M;030714882073;;9009655343280
M;030714882074;;9009655343204
M;030714882075;;9009655343259
M;030715093733;;9009655687605
M;030715093734;;9009655533391
M;030715093735;;9009655533377
M;030715093736;;9009655687629
M;030715093737;;9009655687643
M;030715093738;;9009655687568
M;030715093739;;9009655687544
M;030715093740;;9009655687537
M;030715093741;;9009655687551
M;030715093742;;9009655687599
M;030715093743;;9009655687582
M;030715093744;;9009655687612
M;030715293557;;9009655956671
M;030715293558;;9009655956695
M;030715293559;;9009655956725
M;030715293560;;9009655956718
M;030715293561;;9009655956732
M;030715293562;;9009655956688
M;030715293563;;9009655956749
M;030715509766;;9009656230527
M;030715509767;;9009656170014
M;030715509768;;9009656181485
M;030715509769;;9009656181454
M;030715509770;;9009656181560
M;030715509771;;9009656181461
M;030715671727;;9009656271704
M;030715671765;;9009656271681
M;030715671766;;9009656344170
M;030715671767;;9009656312094
M;030715671768;;9009656312100
M;030715671769;;9009656271711
M;030715671770;;9009656341483
M;030716051323;;9009656271674
M;030716051324;;9009656311974
M;030716051325;;9009656311998
M;030716051356;;9009656377734
M;030716051357;;9009656377710
M;030716051358;;9009656478301
M;030716051359;;9009656478318
M;030716244994;;9009656533963
M;030716282577;;9009656540626
M;030716282578;;9009656540640
M;030716282579;;9009656540602
M;030716282580;;9009656540657
M;030716282598;;9009656533987
