TYPE_MOUVEMENT;CODE_ARTICLE;MAIN_EAN;CODE_PRODUCT;SHORT_LABEL;LONG_LABEL;CODE_SEASON;CODE_SUPPLIER;CODE_FAMILY;CODE_NGP;CODE_COLOR;CODE_SIZE;PRIMARY_TYPE_TAG;SECONDARY_TYPE_TAG;SELLING_PRICE;BUYING_PRICE;URL_PICTURE;TRACEABILITY_MODE;SUPPLIER_REF;END_PRODUCT;QUANTITY;UNIT;FIDELITY_PRICE;USERFIELD_1;USERFIELD_2;USERFIELD_3;USERFIELD_4;USERFIELD_5;CODE_BRAND;PRICE_COMPARISON_UNIT;PRICE_COMPARISON_DIVIDER;RANK
M;030713561051;9009652953802;030713561051;5295380:WATCH CRYSTALLINE HOURS Q LS RED SIAM PRO;5295380:WATCH CRYSTALLINE HOURS Q LS RED SIAM PRO;;307;6668;;;;;;120.00;53.43;;;;;;;;;;;;;;;;
M;030713561065;9009652953697;030713561065;5295369:WATCH ERA JOURNEY LS WHT WHT PRO;5295369:WATCH ERA JOURNEY LS WHT WHT PRO;;307;6668;;;;;;128.00;51.87;;;;;;;;;;;;;;;;
M;030713561067;9009652953666;030713561067;5295366:WATCH ERA JOURNEY MB PRO GRAY PRO;5295366:WATCH ERA JOURNEY MB PRO GRAY PRO;;307;6668;;;;;;157.00;63.76;;;;;;;;;;;;;;;;
M;030713561068;9009652953635;030713561068;5295363:WATCH ERA JOURNEY MB STS MOP STS;5295363:WATCH ERA JOURNEY MB STS MOP STS;;307;6668;;;;;;139.00;56.33;;;;;;;;;;;;;;;;
M;030713561075;9009652953581;030713561075;5295358:WATCH OCTEA NOVA LS BLK BLK PRO;5295358:WATCH OCTEA NOVA LS BLK BLK PRO;;307;6668;;;;;;126.00;51.18;;;;;;;;;;;;;;;;
M;030713959122;9009653768399;030713959122;5376839:WATCHES STELLA LS BUR BUR PRO;5376839:WATCHES STELLA LS BUR BUR PRO;;307;6668;;;;;;107.00;43.37;;;;;;;;;;;;;;;;
M;030713959123;9009653768306;030713959123;5376830:WATCHES STELLA LS GRY WHT PRO;5376830:WATCHES STELLA LS GRY WHT PRO;;307;6668;;;;;;102.00;41.13;;;;;;;;;;;;;;;;
M;030713959126;9009653768061;030713959126;5376806:WATCHES STELLA MC PRO GRAY PRO;5376806:WATCHES STELLA MC PRO GRAY PRO;;307;6668;;;;;;128.00;57.05;;;;;;;;;;;;;;;;
M;030713959127;9009653768153;030713959127;5376815:WATCHES STELLA MC STS WHT STS;5376815:WATCHES STELLA MC STS WHT STS;;307;6668;;;;;;109.00;44.68;;;;;;;;;;;;;;;;
M;030713959130;9009653760713;030713959130;5376071:WATCHES COSMIC ROCK BANGLE MB JET BLK PBK;5376071:WATCHES COSMIC ROCK BANGLE MB JET BLK PBK;;307;6668;;;;;;115.00;45.65;;;;;;;;;;;;;;;;
M;030713959134;9009653775762;030713959134;5377576:WATCHES ETERNAL MB PRO WHT PRO;5377576:WATCHES ETERNAL MB PRO WHT PRO;;307;6668;;;;;;148.00;51.95;;;;;;;;;;;;;;;;
M;030713959135;9009653775458;030713959135;5377545:WATCHES ETERNAL MB STS WHT STS;5377545:WATCHES ETERNAL MB STS WHT STS;;307;6668;;;;;;129.00;43.84;;;;;;;;;;;;;;;;
M;030713959137;9009653760867;030713959137;5376086:WATCHES CRYSTALLINE PURE LS ROSE WHT PRO;5376086:WATCHES CRYSTALLINE PURE LS ROSE WHT PRO;;307;6668;;;;;;110.00;47.10;;;;;;;;;;;;;;;;
M;030713959139;9009653760775;030713959139;5376077:WATCHES CRYSTALLINE PURE MB PCG GRY PCG;5376077:WATCHES CRYSTALLINE PURE MB PCG GRY PCG;;307;6668;;;;;;128.00;54.52;;;;;;;;;;;;;;;;
M;030714152426;9009654160093;030714152426;5416009:WATCH CRYSTAL LAKE LS BLK DGRAY PRO;5416009:WATCH CRYSTAL LAKE LS BLK DGRAY PRO;;307;3958;;;;;;110.00;44.44;;;;;;;;;;;;;;;;
M;030714152427;9009654160062;030714152427;5416006:WATCH CRYSTAL LAKE LS BLU BLU STS;5416006:WATCH CRYSTAL LAKE LS BLU BLU STS;;307;3958;;;;;;102.00;43.28;;;;;;;;;;;;;;;;
M;030714152430;9009654160260;030714152430;5416026:WATCH CRYSTAL LAKE MB PCG DGRAY PCG;5416026:WATCH CRYSTAL LAKE MB PCG DGRAY PCG;;307;3958;;;;;;139.00;57.95;;;;;;;;;;;;;;;;
M;030714152433;9009654160178;030714152433;5416017:WATCH CRYSTAL LAKE MB STS WHT STS;5416017:WATCH CRYSTAL LAKE MB STS WHT STS;;307;3958;;;;;;120.00;49.39;;;;;;;;;;;;;;;;
M;030714152435;9009654144130;030714152435;5414413:WATCH OCTEA LUX LS BLU BLU PRO;5414413:WATCH OCTEA LUX LS BLU BLU PRO;;307;3958;;;;;;128.00;54.02;;;;;;;;;;;;;;;;
M;030714152437;9009654144192;030714152437;5414419:WATCH OCTEA LUX MB PRO BLK PRO;5414419:WATCH OCTEA LUX MB PRO BLK PRO;;307;3958;;;;;;157.00;66.46;;;;;;;;;;;;;;;;
M;030714152438;9009654144291;030714152438;5414429:WATCH OCTEA LUX MB STS WHT STS PRO;5414429:WATCH OCTEA LUX MB STS WHT STS PRO;;307;3958;;;;;;153.00;63.41;;;;;;;;;;;;;;;;
M;030714152440;9009654304244;030714152440;5430424:WATCH OCTEA NOVA MB PRO BLK PRO;5430424:WATCH OCTEA NOVA MB PRO BLK PRO;;307;3958;;;;;;153.00;61.94;;;;;;;;;;;;;;;;
M;030714152443;9009654167016;030714152443;5416701:WATCH ERA JOURNEY LS RUBY RUBY PRO;5416701:WATCH ERA JOURNEY LS RUBY RUBY PRO;;307;3958;;;;;;129.00;52.82;;;;;;;;;;;;;;;;
M;030714455464;9009654524529;030714455464;5452452:WATCH CRYSTALLINE GLAM LS BLK BLK PRO;5452452:WATCH CRYSTALLINE GLAM LS BLK BLK PRO;;307;6668;;;;;;115.00;45.20;;;;;;;;;;;;;;;;
M;030714455465;9009654524550;030714455465;5452455:WATCH CRYSTALLINE GLAM LS TAUPE GRAY PRO;5452455:WATCH CRYSTALLINE GLAM LS TAUPE GRAY PRO;;307;6668;;;;;;115.00;47.62;;;;;;;;;;;;;;;;
M;030714455466;9009654524598;030714455466;5452459:WATCH CRYSTALLINE GLAM LS WHT WHT PRO;5452459:WATCH CRYSTALLINE GLAM LS WHT WHT PRO;;307;6668;;;;;;115.00;44.82;;;;;;;;;;;;;;;;
M;030714455467;9009654524628;030714455467;5452462:WATCH CRYSTALLINE GLAM MB PCG GRAY PCG;5452462:WATCH CRYSTALLINE GLAM MB PCG GRAY PCG;;307;6668;;;;;;146.00;59.78;;;;;;;;;;;;;;;;
M;030714455468;9009654524659;030714455468;5452465:WATCH CRYSTALLINE GLAM MB PRO WHT PRO;5452465:WATCH CRYSTALLINE GLAM MB PRO WHT PRO;;307;6668;;;;;;141.00;59.44;;;;;;;;;;;;;;;;
M;030714455469;9009654524680;030714455469;5452468:WATCH CRYSTALLINE GLAM MB STS GRAY STS;5452468:WATCH CRYSTALLINE GLAM MB STS GRAY STS;;307;6668;;;;;;126.00;51.81;;;;;;;;;;;;;;;;
M;030714455470;9009654551082;030714455470;5455108:WATCH CRYSTALLINE GLAM MB STS WHT STS;5455108:WATCH CRYSTALLINE GLAM MB STS WHT STS;;307;6668;;;;;;123.00;48.67;;;;;;;;;;;;;;;;
M;030714455474;9009654524864;030714455474;5452486:WATCH LOVELY CRYSTALS BANGLE BIC WHT PRO M;5452486:WATCH LOVELY CRYSTALS BANGLE BIC WHT PRO M;;307;6668;;;;;;120.00;49.39;;;;;;;;;;;;;;;;
M;030714455475;9009654524895;030714455475;5452489:WATCH LOVELY CRYSTALS BANGLE PRO WHT PRO M;5452489:WATCH LOVELY CRYSTALS BANGLE PRO WHT PRO M;;307;6668;;;;;;128.00;52.00;;;;;;;;;;;;;;;;
M;030714455476;9009654524925;030714455476;5452492:WATCH LOVELY CRYSTALS BANGLE STS WHT STS M;5452492:WATCH LOVELY CRYSTALS BANGLE STS WHT STS M;;307;6668;;;;;;110.00;44.48;;;;;;;;;;;;;;;;
M;030714455477;9009654524956;030714455477;5452495:WATCH OCTEA LUX CHRONO LS GRAY GRAY PRO;5452495:WATCH OCTEA LUX CHRONO LS GRAY GRAY PRO;;307;6668;;;;;;150.00;56.32;;;;;;;;;;;;;;;;
M;030714455478;9009654524987;030714455478;5452498:WATCH OCTEA LUX CHRONO LS GREEN GREEN PRO;5452498:WATCH OCTEA LUX CHRONO LS GREEN GREEN PRO;;307;6668;;;;;;150.00;59.66;;;;;;;;;;;;;;;;
M;030714455480;9009654525045;030714455480;5452504:WATCH OCTEA LUX CHRONO MB STS BLK STS;5452504:WATCH OCTEA LUX CHRONO MB STS BLK STS;;307;6668;;;;;;153.00;58.73;;;;;;;;;;;;;;;;
M;030714455484;9009654805079;030714455484;5480507:WATCH CRYSTALLINE OVAL MB PRO DGRY PRO;5480507:WATCH CRYSTALLINE OVAL MB PRO DGRY PRO;;307;6668;;;;;;139.00;57.13;;;;;;;;;;;;;;;;
M;030714455485;9009654792393;030714455485;5479239:WATCH ERA JOURNEY LS BLU BLU STS;5479239:WATCH ERA JOURNEY LS BLU BLU STS;;307;6668;;;;;;120.00;47.64;;;;;;;;;;;;;;;;
M;030714658459;9009654840452;030714658459;5484045:WATCH CRYSTAL ROSE MB PCG GRAY PCG;5484045:WATCH CRYSTAL ROSE MB PCG GRAY PCG;;307;6668;;;;;;129.00;51.62;;;;;;;;;;;;;;;;
M;030714658460;9009654840735;030714658460;5484073:WATCH CRYSTAL ROSE MB PRO WHT PRO;5484073:WATCH CRYSTAL ROSE MB PRO WHT PRO;;307;6668;;;;;;132.00;55.29;;;;;;;;;;;;;;;;
M;030714658462;9009654838534;030714658462;5483853:WATCH CRYSTAL ROSE MB STS WHT STS;5483853:WATCH CRYSTAL ROSE MB STS WHT STS;;307;6668;;;;;;113.00;42.97;;;;;;;;;;;;;;;;
M;030714658464;9009654840612;030714658464;5484061:WATCH CRYSTAL FROST LS BLU BLU PRO;5484061:WATCH CRYSTAL FROST LS BLU BLU PRO;;307;6668;;;;;;102.00;41.27;;;;;;;;;;;;;;;;
M;030714658465;9009654840643;030714658465;5484064:WATCH CRYSTAL FROST LS BUR BUR PRO;5484064:WATCH CRYSTAL FROST LS BUR BUR PRO;;307;6668;;;;;;102.00;41.35;;;;;;;;;;;;;;;;
M;030714658466;9009654840674;030714658466;5484067:WATCH CRYSTAL FROST LS GRAY GRAY PRO;5484067:WATCH CRYSTAL FROST LS GRAY GRAY PRO;;307;6668;;;;;;102.00;41.27;;;;;;;;;;;;;;;;
M;030714658467;9009654840704;030714658467;5484070:WATCH CRYSTAL FROST LS WHT WHT STS;5484070:WATCH CRYSTAL FROST LS WHT WHT STS;;307;6668;;;;;;91.00;36.83;;;;;;;;;;;;;;;;
M;030714658468;9009654840582;030714658468;5484058:WATCH CRYSTAL FROST LS BLK BLK PRO;5484058:WATCH CRYSTAL FROST LS BLK BLK PRO;;307;6668;;;;;;102.00;41.27;;;;;;;;;;;;;;;;
M;030714658470;9009654843798;030714658470;5484379:WATCH DUO LS BUR BUR PRO;5484379:WATCH DUO LS BUR BUR PRO;;307;6668;;;;;;115.00;43.76;;;;;;;;;;;;;;;;
M;030714658471;9009654843828;030714658471;5484382:WATCH DUO LS GRAY GRAY PCG;5484382:WATCH DUO LS GRAY GRAY PCG;;307;6668;;;;;;115.00;48.74;;;;;;;;;;;;;;;;
M;030714658473;9009654843736;030714658473;5484373:WATCH DUO LS BLK BLK PRO;5484373:WATCH DUO LS BLK BLK PRO;;307;6668;;;;;;109.00;43.88;;;;;;;;;;;;;;;;
M;030714658476;9009654704150;030714658476;5470415:WATCH STELLA MC PRO WHT PRO;5470415:WATCH STELLA MC PRO WHT PRO;;307;6668;;;;;;134.00;51.07;;;;;;;;;;;;;;;;
M;030714882120;9009655193212;030714882120;5519321:WATCH COCKTAIL MC PCG/WHT/PCG;5519321:WATCH COCKTAIL MC PCG/WHT/PCG;;307;6668;;;;;;134.00;54.49;;;;;;;;;;;;;;;;
M;030714882121;9009655193243;030714882121;5519324:WATCH COCKTAIL MC PRO/BLK/PRO;5519324:WATCH COCKTAIL MC PRO/BLK/PRO;;307;6668;;;;;;134.00;54.21;;;;;;;;;;;;;;;;
M;030714882122;9009655193274;030714882122;5519327:WATCH COCKTAIL MC PRO/WHT/PRO;5519327:WATCH COCKTAIL MC PRO/WHT/PRO;;307;6668;;;;;;134.00;54.75;;;;;;;;;;;;;;;;
M;030714882123;9009655193304;030714882123;5519330:WATCH COCKTAIL MC STS/WHT/STS;5519330:WATCH COCKTAIL MC STS/WHT/STS;;307;6668;;;;;;124.00;45.88;;;;;;;;;;;;;;;;
M;030714882124;9009655177946;030714882124;5517794:WATCH COSMOPOLITAN MB PCG/SIL/PCG;5517794:WATCH COSMOPOLITAN MB PCG/SIL/PCG;;307;6668;;;;;;88.00;37.90;;;;;;;;;;;;;;;;
M;030714882125;9009655177977;030714882125;5517797:WATCH COSMOPOLITAN MB PRO/BLK/PRO;5517797:WATCH COSMOPOLITAN MB PRO/BLK/PRO;;307;6668;;;;;;96.00;37.07;;;;;;;;;;;;;;;;
M;030714882126;9009655178004;030714882126;5517800:WATCH COSMOPOLITAN MB PRO/PEACH/PRO;5517800:WATCH COSMOPOLITAN MB PRO/PEACH/PRO;;307;6668;;;;;;109.00;39.97;;;;;;;;;;;;;;;;
M;030714882127;9009655178035;030714882127;5517803:WATCH COSMOPOLITAN MB PRO/SIL/PRO;5517803:WATCH COSMOPOLITAN MB PRO/SIL/PRO;;307;6668;;;;;;105.00;38.47;;;;;;;;;;;;;;;;
M;030714882128;9009655177908;030714882128;5517790:WATCH COSMOPOLITAN MB STS/BLU/STS;5517790:WATCH COSMOPOLITAN MB STS/BLU/STS;;307;6668;;;;;;90.00;31.49;;;;;;;;;;;;;;;;
M;030714882129;9009655178073;030714882129;5517807:WATCH COSMOPOLITAN MB STS/SIL/STS;5517807:WATCH COSMOPOLITAN MB STS/SIL/STS;;307;6668;;;;;;90.00;36.36;;;;;;;;;;;;;;;;
M;030714882131;9009655194479;030714882131;5519447:WATCH CRYSTALLINE AURA LS BLU/BLU/PRO;5519447:WATCH CRYSTALLINE AURA LS BLU/BLU/PRO;;307;6668;;;;;;106.00;46.51;;;;;;;;;;;;;;;;
