LOC,ITEM,DEPT,DEPT_NAME,CLASS,CLASS_NAME,SUBCLASS,SUB_NAME,ITEM_DESC,AV_COST,SELLING_UNIT_RETAIL,CURRENCY_CODE,UDA_VALUE,ITEM_LOC_STATUS,SIZE,BARCODE
ALT01,033327060306,9847,COSTUME JEWELRY,3899,VSC:VERSACE,6033,NECK JEWELRY,1018426-1A00620-3J000:VSC.3J000:UNICA:CHOKER METAL,1540.4004,3900,AED,333,A,UNICA,8053609924378
ALT01,033327060311,9822,FOOTWEAR,3899,VSC:VERSACE,6828,SNEAKERS/ATHLETIC,1016874-1A11861-1PT20:VSC.1PT20:36:LOW TOP CALF LEATHER,1746.6667,4100,AED,333,A,36,8053609879494
ALT01,033327060312,9822,FOOTWEAR,3899,VSC:VERSACE,6828,SNEAKERS/ATHLETIC,1016874-1A11861-1PT20:VSC.1PT20:37:LOW TOP CALF LEATHER,1746.6667,4100,AED,333,A,37,8053609879517
ALT01,033327060313,9822,FOOTWEAR,3899,VSC:VERSACE,6828,SNEAKERS/ATHLETIC,1016874-1A11861-1PT20:VSC.1PT20:38:LOW TOP CALF LEATHER,1746.6667,4100,AED,333,A,38,8053609879593
ALT01,033327060314,9822,FOOTWEAR,3899,VSC:VERSACE,6828,SNEAKERS/ATHLETIC,1016874-1A11861-1PT20:VSC.1PT20:39:LOW TOP CALF LEATHER,1746.6667,4100,AED,333,A,39,8053609879555
ALT01,033327060315,9822,FOOTWEAR,3899,VSC:VERSACE,6828,SNEAKERS/ATHLETIC,1016874-1A11861-1PT20:VSC.1PT20:40:LOW TOP CALF LEATHER,1610.6915,4100,AED,333,A,40,8053609879579
ALT01,033327060316,9822,FOOTWEAR,3899,VSC:VERSACE,6828,SNEAKERS/ATHLETIC,1016874-1A11861-1PT20:VSC.1PT20:41:LOW TOP CALF LEATHER,1746.6667,4100,AED,333,A,41,8053609879531
ALT01,033327060317,9837,LEATHER GOODS & LUGGAGE,3899,VSC:VERSACE,3972,BAGS,1005861-1A14138-5K48V:VSC.5K48V:UNICA:SMALL TOTE FABRIC+CALF LEATHER,2422.4122,6350,AED,333,A,UNICA,8053609929373
ALT01,033327060318,9822,FOOTWEAR,3899,VSC:VERSACE,6828,SNEAKERS/ATHLETIC,1013568-1A13792-5K48V:VSC.5K48V:35:SNEAKER FABRIC,920.3289,2250,AED,333,A,35,8053609878190
ALT01,033327060319,9822,FOOTWEAR,3899,VSC:VERSACE,6828,SNEAKERS/ATHLETIC,1013568-1A13792-5K48V:VSC.5K48V:36:SNEAKER FABRIC,920.3289,2250,AED,333,A,36,8053609878176
ALT01,033327060320,9822,FOOTWEAR,3899,VSC:VERSACE,6828,SNEAKERS/ATHLETIC,1013568-1A13792-5K48V:VSC.5K48V:36.5:SNEAKER FABRIC,920.3289,2250,AED,333,A,36.5,8053609878169
ALT01,033327060321,9822,FOOTWEAR,3899,VSC:VERSACE,6828,SNEAKERS/ATHLETIC,1013568-1A13792-5K48V:VSC.5K48V:37:SNEAKER FABRIC,849.9693,2250,AED,333,A,37,8053609878152
