NUM_DOC;LABEL_DOC;SITE_LOCATION;STOCK_LOCATION;DATE;STATUS_DOC;CODE_ARTICLE;EXPECTED_QUANTITY_LINE;COUNTED_QUANTITY_LINE;GAP_QUANTITY_LINE;STATUS_LINE;FAMILY
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030715362321;175;175;0;COUNTED_WEB;6622
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030714455107;2;1;-1;COUNTED_ON_SECTOR;6033
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030716724495;1;1;0;COUNTED_ON_SECTOR;6033
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030716724699;3;3;0;COUNTED_ON_SECTOR;6033
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030716724674;1;1;0;COUNTED_ON_SECTOR;4137
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030716724675;3;3;0;COUNTED_ON_SECTOR;4137
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030714881702;3;3;0;COUNTED_ON_SECTOR;4137
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030714881705;1;1;0;COUNTED_ON_SECTOR;4137
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030714881709;3;3;0;COUNTED_ON_SECTOR;6033
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030716524519;2;1;-1;COUNTED_ON_SECTOR;4533
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030716050828;1;0;-1;NOT_COUNT;6688
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030715838511;3;1;-2;COUNTED_ON_SECTOR;6033
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030716282526;1;1;0;COUNTED_ON_SECTOR;6688
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030716724703;2;2;0;COUNTED_ON_SECTOR;4137
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030713958769;1;1;0;COUNTED_ON_SECTOR;4533
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030714881886;1;1;0;COUNTED_ON_SECTOR;6033
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030714881903;0;1;1;COUNTED_ON_SECTOR;6033
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030714882102;1;1;0;COUNTED_ON_SECTOR;6939
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030710145688;4;4;0;COUNTED_ON_SECTOR;4137
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030715351324;1;1;0;COUNTED_ON_SECTOR;6033
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030716050810;1;1;0;COUNTED_ON_SECTOR;4533
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030715093682;1;1;0;COUNTED_ON_SECTOR;6688
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030715509736;2;2;0;COUNTED_ON_SECTOR;6033
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030716282444;7;7;0;COUNTED_ON_SECTOR;4137
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030716282445;7;7;0;COUNTED_ON_SECTOR;4137
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030716282446;10;10;0;COUNTED_ON_SECTOR;4137
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030716282449;1;1;0;COUNTED_ON_SECTOR;4137
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030716282450;1;1;0;COUNTED_ON_SECTOR;4137
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030716282454;1;1;0;COUNTED_ON_SECTOR;4137
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030716282462;1;1;0;COUNTED_ON_SECTOR;6033
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030716724626;1;1;0;COUNTED_ON_SECTOR;4137
